unit,year,semester,campus,aspect_type,aspect,strong_agree,agree,neutral,disagree,strong_disagree,mean,median
FIT5057,2020,S1,CL,U,1,34,65,25,7,12,3.71,3.92
FIT5057,2020,S1,CL,U,2,29,53,25,17,18,3.41,3.71
FIT5057,2020,S1,CL,U,3,39,55,24,12,13,3.66,3.91
FIT5057,2020,S1,CL,U,4,32,59,26,9,16,3.58,3.84
FIT5057,2020,S1,CL,U,5,37,51,27,12,15,3.58,3.83
FIT5057,2020,S1,CL,U,6,36,49,31,8,19,3.52,3.78
FIT5057,2020,S1,CL,U,7,56,61,17,1,7,4.11,4.25
FIT5057,2020,S1,CL,U,8,28,53,27,12,21,3.39,3.70
FIT5057,2020,S1,CL,F,1,42,67,21,7,5,3.94,4.07
FIT5057,2020,S1,CL,F,2,31,63,31,5,13,3.66,3.86
FIT5057,2020,S1,CL,F,3,15,42,39,19,28,2.98,3.13
FIT5057,2020,S1,CL,F,4,32,56,27,10,16,3.55,3.81
FIT5057,2020,S1,CL,F,5,25,43,47,8,15,3.40,3.48
FIT5057,2020,S2,CL,U,1,66,103,48,12,11,3.84,3.98
FIT5057,2020,S2,CL,U,2,65,96,51,14,14,3.77,3.93
FIT5057,2020,S2,CL,U,3,57,109,51,17,6,3.81,3.92
FIT5057,2020,S2,CL,U,4,62,91,50,21,15,3.69,3.87
FIT5057,2020,S2,CL,U,5,64,106,43,14,11,3.83,3.98
FIT5057,2020,S2,CL,U,6,65,104,44,12,12,3.84,3.99
FIT5057,2020,S2,CL,U,7,84,113,30,5,8,4.08,4.18
FIT5057,2020,S2,CL,U,8,55,92,55,21,16,3.62,3.80
FIT5057,2020,S2,CL,F,1,73,124,33,5,3,4.09,4.13
FIT5057,2020,S2,CL,F,2,56,115,50,13,6,3.84,3.94
FIT5057,2020,S2,CL,F,3,48,86,61,26,17,3.51,3.67
FIT5057,2020,S2,CL,F,4,63,106,40,19,11,3.80,3.97
FIT5057,2020,S2,CL,F,5,52,96,68,14,7,3.73,3.81
