aspect_type,aspect,description
U,1,The Learning Outcomes for this unit were clear to me
U,2,The instructions for Assessment tasks were clear to me
U,3,The Assessment in this unit allowed me to demonstrate the learning outcomes
U,4,The Feedback helped me achieve the Learning Outcomes for the unit
U,5,The Resources helped me achieve the Learning Outcomes for the unit
U,6,The Activities helped me achieve the Learning Outcomes for the unit
U,7,I attempted to engage in this unit to the best of my ability
U,8,"Overall, I was satisfied with this unit"
F,1,As the unit progressed I could see how the various topics were related to each other
F,2,The online resources for this unit helped me succeed in this unit
F,3,The workload in this unit was manageable
F,4,The practical or tutorial exercises assisted my learning
F,5,I found the pre-class activities for this unit useful
