id,unit,year,semester,campus,aspect_type,aspect,strong_agree,agree,neutral,disagree,strong_disagree,mean,median
1,FIT1045,2023,S2,CL,U,1,50,67,17,4,2,4.14,4.2
2,FIT1045,2023,S2,CL,U,2,42,49,31,40,7,3.47,3.94
3,FIT1045,2023,S2,CL,U,3,49,50,20,6,5,4.02,4.15
4,FIT1045,2023,S2,CL,U,4,37,53,27,13,7,3.73,3.91
5,FIT1045,2023,S2,CL,U,5,37,50,30,13,6,3.73,3.88
6,FIT1045,2023,S2,CL,U,6,44,56,25,9,3,3.94,4.06
7,FIT1045,2023,S2,CL,U,7,61,54,19,3,2,4.22,4.34
8,FIT1045,2023,S2,CL,U,8,37,47,30,15,8,3.66,3.83
9,FIT1045,2023,S2,CL,F,1,47,73,14,5,0,4.17,4.19
10,FIT1045,2023,S2,CL,F,2,39,53,29,15,1,3.83,3.94
11,FIT1045,2023,S2,CL,F,3,33,41,29,22,15,3.39,3.6
12,FIT1045,2023,S2,CL,F,4,39,56,29,7,5,3.86,3.98
13,FIT1045,2023,S2,CL,F,5,43,51,31,8,3,3.9,4.01
14,FIT1045,2023,S1,CL,U,1,135,221,87,45,22,3.79,3.96
15,FIT1045,2023,S1,CL,U,2,117,179,123,67,26,3.57,3.72
16,FIT1045,2023,S1,CL,U,3,122,187,106,59,34,3.6,3.79
17,FIT1045,2023,S1,CL,U,4,103,158,151,56,36,3.47,3.56
18,FIT1045,2023,S1,CL,U,5,117,171,118,66,37,3.52,3.7
19,FIT1045,2023,S1,CL,U,6,138,190,102,54,27,3.7,3.88
20,FIT1045,2023,S1,CL,U,7,201,203,80,17,8,4.12,4.24
21,FIT1045,2023,S1,CL,U,8,113,153,116,68,60,3.37,3.57
22,FIT1045,2023,S1,CL,F,1,163,228,81,23,10,4.01,4.11
23,FIT1045,2023,S1,CL,F,2,130,181,125,43,25,3.69,3.83
24,FIT1045,2023,S1,CL,F,3,86,152,118,90,61,3.22,3.37
25,FIT1045,2023,S1,CL,F,4,123,202,106,47,29,3.68,3.85
26,FIT1045,2023,S1,CL,F,5,141,199,106,45,19,3.78,3.93
27,FIT1045,2022,S2,CL,U,1,39,45,13,7,4,4,4.17
28,FIT1045,2022,S2,CL,U,2,33,37,15,14,10,3.63,3.92
29,FIT1045,2022,S2,CL,U,3,43,38,9,11,7,3.92,4.21
30,FIT1045,2022,S2,CL,U,4,41,33,13,15,6,3.81,4.11
31,FIT1045,2022,S2,CL,U,5,39,37,11,15,7,3.79,4.08
